t,x_est,y_est,vx_est,vy_est
0,0.591784,0.733258,5.009,2.05228
0.1,0.996823,0.792414,4.98828,2.02071
0.2,1.95553,0.739844,5.14647,1.93312
0.3,2.32501,1.15808,5.07831,2.03873
0.4,2.75555,1.68636,5.03334,2.22749
0.5,3.44362,1.86498,5.15783,2.19776
0.6,3.5997,2.12371,4.89059,2.2267
0.7,3.60272,2.28588,4.50652,2.17889
0.8,4.28339,2.44139,4.69486,2.12782
0.9,4.9792,3.14837,4.88332,2.53934
1,5.67897,3.28291,5.06004,2.43955
1.1,6.2793,3.46972,5.13845,2.39204
1.2,6.26074,3.39344,4.70083,2.13272
1.3,7.0845,3.45743,4.98717,2.01187
1.4,7.68105,3.23164,5.06501,1.67213
1.5,8.10702,3.55588,5.0021,1.7948
1.6,8.09158,3.79414,4.60668,1.83987
1.7,8.49867,3.62853,4.56633,1.57659
1.8,8.96407,3.20355,4.57282,1.14529
1.9,8.78756,3.06936,4.11112,0.96411
2,9.03221,2.97722,3.99163,0.82876
2.1,9.08393,3.36852,3.74551,1.04724
2.2,9.22664,3.69513,3.58321,1.20257
2.3,10.1284,3.98261,3.95975,1.31844
2.4,10.7922,4.15573,4.14369,1.34678
2.5,10.9802,4.43633,3.98937,1.44623
2.6,11.9219,5.23896,4.35695,1.89182
2.7,12.4221,5.00761,4.40037,1.60854
2.8,13.0994,5.40087,4.55953,1.76443
2.9,13.6508,5.34114,4.62332,1.60654
3,14.8465,4.96181,5.11233,1.2465
3.1,15.2578,4.93661,5.04585,1.14678
3.2,15.6408,5.40529,4.96502,1.38202
3.3,16.2537,5.56667,5.04231,1.39741
3.4,17.0384,6.11519,5.22838,1.66864
3.5,17.762,6.34462,5.36155,1.71014
3.6,18.578,6.88293,5.54721,1.95375
3.7,19.7751,7.51126,5.97327,2.24093
3.8,20.5309,7.82469,6.0784,2.30021
3.9,20.5747,8.01249,5.7041,2.27218
4,20.7983,8.14987,5.47389,2.21255
4.1,21.4071,8.29707,5.51468,2.16337
4.2,21.5988,8.49281,5.27567,2.14968
4.3,22.0177,8.92107,5.20345,2.29143
4.4,22.2203,9.30874,4.99221,2.39682
4.5,22.7334,9.96485,5.0014,2.67374
4.6,23.1639,10.1788,4.95509,2.63819
4.7,23.3324,10.0435,4.73754,2.37266
4.8,23.941,10.2539,4.8273,2.35477
4.9,24.5955,10.2872,4.94161,2.22024
5,25.6291,10.6198,5.30072,2.29379
5.1,26.3785,10.847,5.4467,2.29238
5.2,26.7681,11.3298,5.34345,2.46121
5.3,27.3639,11.2871,5.38435,2.26885
5.4,27.3674,11.2714,5.02817,2.10735
5.5,27.4418,11.5983,4.74287,2.18467
5.6,27.8311,11.7987,4.68626,2.17267
5.7,27.9659,12.3214,4.46394,2.37606
5.8,28.6341,12.5776,4.61169,2.38846
5.9,29.454,12.6118,4.8506,2.25214
6,30.0816,13.0007,4.9455,2.36115
6.1,30.6819,13.0747,5.01593,2.2532
